Comments,HateSpeech
এই মহিলা আস্তা বড় বেয়াদপ।,hate
পরে গেছিলা দেখেই আজ নুনু নাই,hate
এই বেডিকে এখানো পুলিশে ধরেনি!,hate
তুমি কে আমি কে রাজাকার রাজাকার,nonhate
"যে নারীর লজ্জা নেই ভয় নেই, এ নারী না অন্য কিছু ভাবতেই অবাক লাগে ",hate
যেরকম চেহারা আমার মনে হয় কুকুরও প্রসাব করবে না ওর মুখে। ,hate
"এই মহিলা টা নারী নামক কলংক৷ আস্থা একটা বজ্জাত মহিলা,",hate
এদের বোদার বিতরে বড় দেখে একটা কচু ডুকাই দেন,hate
এই বেড়ির হুগার ভিতরে মরিচ ডলে লাগা ,hate
ফেসবুকে একটা পাইছস বাপ দাদার কানকি মাগী আর খানকির পোলা যত কিছু আছে উল্টাপাল্টা ভিডিও চোদাও ,hate
হালি একটা খানিক,hate
এই নষ্টা মেয়ে শালী ,hate
মহিলারে কুত্তার হাতে তুলে দাও,nonhate
রাস্তায় রাস্তায় নষ্টামি শুরু করছে এই মহিলা,hate
শিখা একটা নষ্টা মেয়ে চরিত্রহীন মেয়ে তার হাজবেন্ডের প্রসঙ্গ কেটে দিয়েছে,hate
এই মহিলা বাবা খোর,nonhate
ওর নুনু কি টিক হয়ে গেছে ,nonhate
ওকে দৌলতদিয়া পোস্টিং করা হোক।,nonhate
দয়া করে এসব ভিডিও ছারবেন না এসব বাল ছাল দেকতে আসিনা এফবি তে,hate
এটারে দেখতে বেস্যার মত লাগে।,hate
সাকিবের নাকি শোনা কাটছে তাহলে এটা কবের ভিডিও,nonhate
পাগলের বাচ্চা নষ্ট মহিলা.,hate
বস্তির মহিলা,hate
তোগো পোন্দাপোন্দি অনলাইনে কে,hate
আরে কি বলবো এই দেশে কোন আইন নেই যদি থাকতো তাহলে আজ এই জায়গায় বসে এগুলো দেখতে হতো না এই মেয়ে তো একটা নষ্ঠা মেয়ে এরে দেখলেই তো বোঝা যায় ,hate
তোরা শালা হিজড়া নাকি মেয়েটার মাথার চুল খেটে দাও,hate
এই মেয়েটাকে আইনের আওতায় এনে ডিম থেরাপি দেওয়া হোক,hate
এদের জন্য সমাস নষ্ট এদের জন্য দেশ নষ্ট,hate
গরম থেরাপি দেওয়া উচিত,hate
এই মহিলার কথা ধরন খুব বাজেঘিন্না লাগে,hate
এটা মহিলা নাকি হাইওয়ান৷।,nonhate
শালী কুত্তার বাচ্চা,hate
ভুসকি দিয়া মিডিয়া ভইরা গেছে,hate
এ গুলো হল ডায়নী মহিলা,hate
ওর পুটকি দিয়ে গরম ডিম দেয়া হক,hate
জুনিয়া শাকিব নাকি সোনা কেটে দিয়েছে,nonhate
হালকা করে চুদে দেন ওরে,hate
"বিএনপির জন্য পুলিশ আছে, এদের জন্য কি কেউ নাই? আইনে আওতায় আনা হক",hate
ভাই ও তো একটা খানকি তাহলে ওর সাথে বাড়াবাড়ি করেন কিসের জন্য,hate
এই খানকি গুলো কি কোন মা বাপ নাই,hate
এসব প্রণীকে চিড়িয়াখানায় ঢুকায় না কেনো ,nonhate
এই সব দুই একটা খানকির কারনে গুটা নারী জাতি কলংকিত হয়।,hate
কি সাওয়ার ঝগড়া ,hate
আতাইরা পাতাইরা লাচ্ছাই তল পেট জাম করি হালাচ্ছান,nonhate
চেহারা দেখে মনে হচ্ছে নাম্বার ওয়ান রেন্ডি মাইয়া,hate
এ মেয়েটারে নাগামরিচ লাগান,hate
শিখার নিচে দিয়ে গরম ডিম দেয়া হোক,hate
ওর শাস্তি হয় নাই এটাই আমাদের বাংলাদেশ,nonhate
ধন কাটা ভাইরাল নিউজ! ,hate
একটা মরিচ দিয়া দেন মহিলাটাকে,nonhate
মাগীর বেটির ঘরের জালাদ ফেসবুকে আইসা যায় না,nonhate
বুবলি কিছু করলেই পাদুকা রানিকে কপি করে বুঋি ,hate
এখন সবাই সবাইকে কপি করলে ভাইরাল হয় ,nonhate
নায়িকা বলে কথা আলোচনার মধ্যে থাকবে এটাই স্বাভাবিক,nonhate
অপু তো একটা অশিক্ষিত ভন্ড কদু পাদুনি মহিলা অকে আবার কপি করার কি আছে,hate
সকাল সন্ধ্যা গোমূত্র সেবনকারী বেডি পাদুনি বিশ্বাসের লজ্জা নাই।,hate
পাদুরী বিশ্বাসের হাসিটা একদম ভাল লাগে না,nonhate
বুবলি আসলেই বেহায়া মহিলা একটা ,hate
অপু হলো হিন্দু কিন্তু বুবলি মুসলিম তাই অপুর থেকে দুরে থাকার দরকার,nonhate
পাদুনি বিশ্বাসের পাদের খবর কই,nonhate
আলোচনা সমালোচনা বাদ দিয়ে আসেন একে অপরকে সাপোর্ট করি,nonhate
অপু বিশ্বাসের এসব ছাগলামী দেখলে খুব হাসি পায়,hate
ছবিথেকে বাদ পরছে এখন শাকিবের নাম বলে আবার টাইমলাইনে থাকতে চাই,nonhate
বুবলির জন্মই অপু কে কপি করা ,nonhate
দুই সতিনের জ্বালায় আর বাঁচি না,nonhate
নাটক কম করো পিও তুমি যে নেকামো করো তা আমরা বুঝি!,hate
ব্যারিস্টার সুমন ভাই আশা করি উনার জন্য সহযোগিতার হাত বাড়িয়ে দিবে,nonhate
অসাধারণ অনবদ্য। সহযোগীতা ও শুভেচ্ছা কামনা করি ভাইটির জন্য।,nonhate
ভাই এই প্রতিভা সবার থাকেনারে। অসাধারণ মাশাল্লাহ,nonhate
দেশে অশ্নিল ছড়াচ্ছে জেলে দেওয়া উচিত,hate
"সিসিসি, একে আইনের আওত্তায় আনা হোক",hate
এই সব ছাতা বুদা ফেসবুকে যায়গা পায় কি ভাবে.,hate
খানকি অরিজিনাল একটা খানকি,hate
বাল কি শুরু করছে এরা ,hate
"পুরো দেশ টাই নষ্ট করে ফেলেছে, নামাজ নেই রোজা নেই ধর্ম নেই, শুধু ভণ্ডামি",hate
"ভাই এই মেয়েটাকে কেউ তেল ছাড়া চোদেন তো,",hate
চুতমারানি লাইফ চোদায়।,hate
খাঙ্কির বিচার কর,hate
মেয়েটা আসলেই গাঁজাখোর,hate
এটি রাস্তার বেডি এগুলোর জন্য সমাজ নস্ট।,hate
এই সোনা সিলায় করে দেওয়া হোক,nonhate
খারাপ মহিলা,hate
তুরে কি যেন কেটে দিছিলো,nonhate
শালীর চেহারা দেখেন হেরইন খায় মনে হয়,hate
দারুন হয়েছে ভাই তার মুখে এতো ভিজিট ,nonhate
এই মহিলা করুনার থেকেও ভয়ংকর ,hate
এই মহিলাটা মহিলা নামে কলংক।,hate
ধইরা লবন মরিচ লাগাইয়া দেন ,nonhate
শালি পাগল,hate
এই মহিলা অনেক খারাপ দেখলে আমার রাগ উঠে ,hate
মোবাইল টা ওর বিতরে ভইরা দিলেন না কেন ভাই,nonhate
ওরে থাবরায় না কেনো,hate
আর এই ছেলে কে এত কথা বলে ,nonhate
এই মহিলাদের মুখ বেশি চলে ,nonhate
এই মেয়ে ছেলে টাকে আগা পাঁচ তলা বিছুটি পাতা লাগাতে হবে বাজে মেয়েছেলে দেখেই মনে হয়,hate
জনির কাসে পাঠে দাও,nonhate
"এইতো মহিলা নামে কলঙ্ক, ফালতু মেয়ে, কি বিচ্ছিরি কথার ধরন। ছি ছি ",hate
ভাই সব কয়টারে ধইরা জেলে ভর।দরকার পড়লাম মামলা আমি দিমু ,hate
ফেসবুকটা শেষ করে ফেলছে,nonhate
তাই বলে কি ওর অঙ্গ কেটে নেবে,nonhate
চাচির হেডামসব মোবাইলের ভিত্তে,nonhate
দেশে কি প্রশাশন মারা গেছেকা কি,hate
ঘুমন্ত স্বামীকে চুমু দেওয়া সুন্নাত অথচ এইদেশের মেয়েরা স্বামীর নুনু কেটে দেয়,hate
ধন কাটা শেখা আজাম লাগবেনা বর্তমান,nonhate
সমাজটা নষ্ট করলো এরা,nonhate
আর সবার মাঝে মরিচ ঢালেন নাইলে ওর জ্বালা,nonhate
অনলাইন ফেলাটা ফ্রর্মটারে বস্তি বানাই ফেলছে,hate
টুনটুনি হারিয়ে এর হাত থেকে বেচে গেছে এটাও ভাগ্য,nonhate
ভাই তাইরে কুত্তা দিয়ে চোদান,hate
শুয়োরের বাচ্চা। তোরে যে প্রমোট করে তারা তোর জ্বারজ।,hate
গান্জা খাইয়া হালায় ট‍্যাগরা হইয়া গ‍্যাছে!,hate
আমার সামনে লেংটা হয়ে থাকেলে চুদব না,hate
তুই বুঝবি কোন বাল তুই তো মাল খেয়ে টাল,hate
এই শুয়োরের বাচ্চার খিস্তি আর পাবলিক খাচ্ছে না!,hate
ভাই ও মনে হয় কনডম দুর্ঘটনায় জন্মায় এসব কথা বলছে,hate
তোদের মত দু একটা বোকাচোদা যদি স্কুলে না যায়। তাহলে দেশ অনেক দূরে এগিয়ে যাবে। বোকাচোদা অশিক্ষিত মূর্খ,hate
ছিঃ পরিবার কত টা খারাপ হলে বাচ্চাকে খারাপ কথা শিখায় ,hate
এখন এক দল মেয়ে আইসা বলবে এই গুলা কি সারা রাত খেলে এইগুলা দিয়া এখন আইসা ভাব নেয় এইগুলা কি ,hate
বাপ পুতে এক সাথে খেলা দেখে তাই এ অবস্থা ,nonhate
শালা বুড়ো বয়সে বাই কত,hate
আরে ভাই দাদুকে জিজ্ঞেস করতেন দাদুর লিঙ্গ কি দাঁড়ায় নাকি.,nonhate
ঢ্যামনা বুড়ো ,nonhate
বিয়ের খেতায় আগুন ,hate
"যেমন কুকুর তেমন মুগুর,শাকিব মারাইতে যাও আবার ফহিন্নির পুত",hate
শুয়োরের বাচ্চা। তোরে যে প্রমোট করে তারা তোর জ্বারজ।,hate
এগুলা নিয়া মজা করার কোনো মানে হয় না।,nonhate
"বোকাচোদা ছেলে, গাল দিচ্ছি।",hate
"এই মাদারচোদ গুলা আবার সেলিব্রিটি ভাব নেয়, খানকি",hate
আসলেই বেসসা মাগির পোলা,hate
সকাল বেলা পুটকিডা ধুয়ে নাস্তা পানি করে যার যার বাড়ি যাবিগা ,hate
ওহ্ অসাধারণ মাগীর বেডি,hate
একদম ঠিক করেছে চাচা ,nonhate
ঠিকি আছে জতো সব বুকাচুদা লোক,hate
তো গোরে চুতা দিয়ে ভাইরাস উচিত ,hate
ওই ধোন ছিড়বি,hate
পন মেরে দুবো,hate
ভাষাটাকেই চুদে দিলো ,hate
খানকির ছেলে তুই কেমন কথা কইছি মাগির ছেলেতোর কথা কি স্পষ্ট হয় খানকির ছেলে একজনের কথা নিয়ে তোরা এত কিছু করিস খানকির ছেলে ওর কন্ঠটা এরকম,hate
ভাষা চুদে দিলো বউ,hate
১২ ভাতারী হলে যা হয় আর কি ,hate
অমানবিকভাবে ভাষাকে ধর্ষণ করা হয়েছে,hate
"১২ ভাতারি মেয়ের অবস্থা কাকে রেখে কাকে দিবে, ",hate
লোভ দেখিয়ে লাভ নেই আমি হাত মারা ছেড়ে দিছি ,nonhate
নুনু হত্যা মহাপাপ। এটা করবেন না ,nonhate
কাকার দেখি যৌবনের ঠেলা আছে,nonhate
পাগল এ কিনা বলে ছাগলে কিনা খায়,hate
ভাই আমর নিজের বিচি কান্দে উইঠ্যা গেছে ওমা ,nonhate
মা নামে কলঙ্ক ,hate
কোন মহিলা এমন রাক্ষসী হয়।,hate
হু হু সিলিম লাগতাচে,nonhate
সামনে পাইলে ইচ্ছে মতো চুদে দিতাম,hate
সালিরে ধরে ওর গুদে মরিচ ঢুকিয়ে দে,hate
আসো চুদে দেই,hate
তোমার ওই পমপম গুলো দেখলেই দাড়ায় যায়,hate
এতো দূর্বল কম সময়েই মাল আউট হয়ে গেল,nonhate
বোকাচোদা বলে কী,hate
তোকে কুত্তা দিয়ে পিছনে চোদানো উচিত ,hate
আন্ডারওয়্যার পরার অভ্যাস কর হাদারাম।,nonhate
ফলো দিয়ে ইনবক্সে আসো বোদির রস বের করে দিয়ে যাও ,nonhate
কুকুরটা একদম ঠিক করছে মোবাইলে উপরে না মুইতা ওদের শরীরের উপর মুতনের দরকার আছিল,nonhate
এই মহিলা আজ পানতাকটা নুনু কাটছে,hate
আমি তো কালকে প্রথম হাগতে যাব,nonhate
কুত্তার পেটে কি আর ঘি হজম হয় ,nonhate
কলেজ যাসনা নাহলে ১২ ভাতারি হওয়া জাবি,nonhate
"এটা সকারের উদ্দেশ্য বললেই ত হয়, তাকে বলেন দাবি মেনে নিতে",nonhate
বিচি তে টুক্কা দিয়া বলে রাগ করছ,hate
এটায় লাগবো কেরা আছস দে ওরে ,nonhate
ওকে হাতি দিয়ে পোদ মারাতে হবে ,hate
ঘোড়ার চ্যাট দেওয়া দরকার,hate
ওরে হাতি দিয়ে পোদ মারাইতে হবে,hate
এরে হাতির ধোন দিয়ে চুদলে ঠিক হয়ে যাবে,hate
"আমরা যতই ভারত ভারত করি,ভারত আমগো হোগা ও মারবো না ",hate
তাতে বাল ছেড়া গেলো ,hate
ওরা হাগে রোডে আবার মুভি ,nonhate
ছাকিবছান এবার ইন্দোনেশিয়া যাবে কামলা দিতে।,nonhate
আদর্শ চুরের আদর্শ সন্তান,hate
"ওরে বাটপার, প্রশ্নফাসের কোটি টাকা মেরে দিয়ে মসজিদে দান",hate
"চোরের মার বড় গলা,",nonhate
চোরের বাচ্চা চোর।,hate
চোরের ঘরের চোর,hate
তোর বাপ চোর.,hate
এই সব চোর গুলোই মসজিদ কমিটিতে স্থান পায় ,hate
ও চোরের পোলা!,hate
অবৈধ টাকা দিয়ে মসজিদ নির্মাণ করিয়া কি লাভ. চোরে দেশটা ভরে গেলো,hate
শয়তান এখন মসজিদে,hate
এইসব চোর বাটপারেরা শয়তানকে অ হার মানাবে।,hate
চোরের পোলা ,hate
চোরের টাকায় ১ টা না হাজার টা মসজিদ করে দিলে ও কোন লাভ হবে নাহ! চোরের বাচ্চা চোর। ,hate
চুরির টাকা মসজিদে দান করে হারাম সম্পদ হালাল করার নিঞ্জা টেকনিক! ,nonhate
বাপ ছেলে দুই চোর,hate
শুয়োরের বাচ্চা টাকা পাইলি কই,hate
চোরের মায়ের বড় গলা এগুলো কি এখনো ক্রসফায়ার করে না কেন সেটা ভাবতেছি ,hate
চোরের ছেলের বড় বড় কথা ছিঃ ছিঃ ছিঃ,hate
চোরের আবার ধর্ম! হারামির দল যা বেটা ভাগ।,hate
শালা চোর বাটপার ,hate
শুয়ার এবং শুয়ারের বাচ্চা ,hate
ধর হালারপুতেরে ধর,hate
ড্রাইভারের বাচ্চা ,hate
ভন্ডের বাচ্চা,hate
কুত্তাগুলোর আচরণ ও একদম কুত্তার মতো,hate
আরে কুত্তা লীগ,hate
মাদারচূত ছাত্রলাীগ তদের জন্মে সমস্যা,hate
"কু্ত্তার বাচ্চা সব,তো আচারন এমন ত হবেই",hate
শুয়োরের বাচ্চা গুলো.,hate
কুলাঙ্গারের বাচ্চা এদের জন্মের ঠিক নাই। ,hate
"সব কয়টা কুত্তার বাচ্চা, তদের ছাত্রলীগ মানে কোন কুত্তার দল তাদের ধিক্কার জানাই, বস্তির টোকাই পোলাপান",hate
এই বালের লীগ রে উচিত শিক্ষা দেওয়া উচিত। ছাত্রলীগ না এগুলা চামচা ,hate
ছাত্রলীগ বরাবরই একটা কুত্তার বাচ্চা ,hate
কুত্তার বাচ্চা,hate
তখন মা নেংটি পড়িযে রাখতো,nonhate
ভাইয়ার ধনটা তো বড় ছিলো কাটলো কেন বুঝলাম না,nonhate
নষ্ট কোকিলের পেটে জন্ম নেওয়া কীট গুলো ছাত্রলীগ হয়,hate
ছাত্রলীগ একটি হিজড়া সংগঠন,nonhate
সালা প্রতিবন্ধী ,hate
"চুদমারানি, তোর বউ পরকিয়া করুক। দোয়া করি",hate
তুই রাজাকার সালা ,hate
তারে মন চায় জোতা পিটাই করি ,hate
বোকাচোদা ভক্ত,hate
বোকাচোদা কথা কোইলো নাকি বমি করলো ১:৫০ মিনিটে কিছুই বুঝলাম না ,nonhate
৩৬ বছর ন্যাংটা জীবন কাটালো এখন অন্যর ছেড়া কাপড় দেখে নাক শিটকায়,hate
পাগলচুদা হুদাই চিল্লায়,hate
তর নানির হেডা,hate
দালালী চোদাও মাদারবোর্ড!,hate
মাইন্দার মাইন্দার জিন্দাবাদ ,hate
বমি আসছে কথা শুনে,hate
ফুটপাতে ছিড়া কনডম এর দূর্ঘটনাই জন্ম নেওয়া হায়নার দল,hate
"ছাত্রলীগ সবগুলো কুত্তার বাচ্চা, জন্মের ঠিক নাই",hate
জানোয়ারের বাচ্চারা ,hate
দেশটা শেষ করে দিলো বাইনচুদের দলেরা ,hate
কুকুরের বীর্য দিয়ে জন্ম হয়েছে যাদের তারাই করে ছাত্রলীগ,hate
অমানুষ গুলো কোন মায়ের পেটের বাচ্চা হতে পারে না,hate
কিছু বলার নাই ভাই এই হলো দেশ ,nonhate
ছাত্রলীগদের জন্মের ঠিক নাই এরা কুলাঙ্গার,hate
এর শেষ দ্যাখা উচিত ,nonhate
দেশটাকে শেষ করে দিলো বাইঞ্চুদ রা ,hate
এই বালের লীগ দের দেশের এই অবস্থা,hate
জানোয়ারের বাচ্চারা সব,hate
এই মহিলার চুলের মুঠি ধরে চেয়ার থেকে নামানো উচিত ,hate
তোরে ব্লক করমু ক্যামনে সেটা বল মাদারবোর্ড,hate
আমি বলবো আরও জোরে জোরে ঢোকাও,nonhate
প্রথম চোরডা তো আপনিই পয়দা করে গেছেন ,hate
খানকির পোলা,hate
দেশের নুনুকাটা পরিস্থিতির মধ্যে এধরনের মিলনমেলা অযৌক্তিক ,nonhate
তিন ঘন্টা শালারা পা চাটায় ব্যস্ত ছিলো,nonhate
ধিক্কার জানাই এই জাতিকে,hate
এইটা হচ্ছে বড় চোর।,hate
এর মুখের ভাষা এ রকৃ কেনো। এ কি পাড়ার মহিলা নাকি,hate
বাদবাকি চোদনকৃস্ট,hate
এই খবিশরে আমি আগের থেকেই দেখতে পারি না,hate
কুত্তার বাচ্চারা তোরা,hate
মুক্তিযোদ্ধার বাচ্চা হতে পারিস না কোনো ভাবেই,nonhate
নেড়ি কুত্তার দল ,hate
সময় টিভি দালাল ,hate
জানোয়ার ,hate
এটা জানোয়ার লীগ নাম দেওয়া উচিৎ ,hate
পাখির চোখে শুয়োড় ছানারা,hate
বাললীগ,hate
সংঘর্ষ নাকি হামলা? কি বালের ক্যাপশন দেন!,hate
ছিঃ জানোয়ার ,hate
খানকির পোলারা তোরা মেইন খবর তুলে দরস না কেনো,hate
ফুটফুটে খানকির শিশুগুলা,hate
গাজা খোর মহিলা,hate
সব বানিয়ে বানিয়ে বলছে একটাও সত্যি না ,nonhate
"বুয়া ডাক্তার, সাথে চুতমারানি!",hate
বস্তির মাইয়া,hate
এ মেয়ের সব গুন আছে চুরি ছেচরামি বেহায়া বাটপারি একের ভিতরে সব,hate
বস্তির মাইয়া,hate
দূর চুদানির পোয়াইন,hate
সব শিখানো নাটকের মাইয়াটার ,hate
এই মের সাথে খারাপ কাজ করার পর ও এতো সুস্থ আছে পাকনা পোলাপান বেয়াদব কোথাকার,hate
"ছি ছি ছি দুনিয়া টা কি করছে এরা, ঐ মহিলা তো পুরা বস্তির ফকিন্নি,",hate
এইসব আই ডি তে রিপোর্ট করা উচিত সবার।,nonhate
এই খানকির পুলার ইউটিউব বাচ্চা দেশটাকে খেয়ে ফেলেছে,hate
মাদারিরা ভিউ পাওয়ার জন্য সত্যরে মিথ্যা বানায় আর মিথ্যারে সত্য বানায় হেদায়েত হ,hate
ভিডিও আপলোড কারি গাঞ্জা খাইছে,hate
যারা মিথ্যা ভিডিও দিয়ে মানুষকে বিভ্রান্তি করে তাদেরকে রিপোর্ট করুন! ,nonhate
ভিউ পাওয়ার জন্য কি নাকি করে,nonhate
মাগির পোলা ফেইক ভিডিও দিস কেন,hate
পোস্ট দাতা হচ্ছে খানকি মাগির পোলা ,hate
 এটা ওনার প্রেমিক আমরা কিভাবে বুঝবো?,nonhate
বেয়াদব ,hate
তোর মায়ের কাছে এইভাবে আসে মানুষ ,nonhate
হেত খানকির পোলা তোর ক্যাপশন এগান লিখস মাদারচোদ,hate
তোর মার ভাতার এইটা মাদার চোদ এর ভিডিও টা পুলিশ এ দেয়া দরকার,hate
প্রেমিক হলেত ছেলে এই ভাবে যেতনা। শালা তুই একটা মাদার চুদ ,hate
"যে চুদানি বা চুতমারানীর পোলায় ভিডিওটা ছাড়ছে, তার মার হাঙ্গা",hate
সালা কুকুরের বাচ্চা বোকা চোদ্দা বালের ভিডিও,hate
তোর হেডার ভিডিও কুত্তার বাচ্চা,hate
অতি শিক্ষিত বোকাচোদা,hate
এরে আইডল মানা ভোদাইদের খুজতেছি ,nonhate
ওরে একটু চুদেন ভাই,hate
সালার কি একটা বেইজ্জত কারবার ,hate
বিচিলেস ক্যাডার হিজড়া,nonhate
ভিডিওটা দেখে চোখের পানি সোনা দিয়ে বেরিয়ে গেলো ,nonhate
দুইটা দুধ নিয়ে নিজেকে ভাবছো তুমি রানী!,nonhate
কুত্তার তো ৬ টা আছে সে তো তাহলে মহারানী!,nonhate
শরীরের ওজনে দুধ বড় এইটা এ কাজটা কে করছে এত বড় বড় দুধ নিয়ে চলাফেরা,nonhate
সব খানকির ছেলেদের কমেন্ট ,hate
মালটারে ইচ্ছা মতন টিপা হইছে,nonhate
আগে নাটক দেখলে চোখ দিয়ে পানি আসতো আর এখন নাটক দেখলে টুনটুনি দিয়ে পানি চলে আসে,nonhate
পুংটামির লিমিট ক্রস ,nonhate
এ ছেমড়ি তুই হইছো ছোট বাচ্চা তোর মত বাচ্চার লগে খারাপ কাজ করলে কি তুই বাইছা আছো কেমনে,nonhate
হালার পু এখনো স্ত্রী দাবি করছিস তুই পুরুষ জাতির কলংক,hate
ওরা বাচার জন্য মিথ্যা কথা বলতেছে এই মেয়ে কি হাতের একটা আঙ্গুল নিতে পারবে ,nonhate
এটা ওওও বাসা থেকে মুখস্ত করে নিয়ে আসছে মা বাপ খালি বাট পারি ,hate
এ মেয়েটার ফুটা টেস্ট করা হোক,hate
এই ছোট মেয়ে আবার লিপ কিস চিনে ,nonhate
এগুলা সব ওরে শিখাই দেওয়া হইছে ,nonhate
নাটক খুব সুন্দর চিল ,nonhate
তোমার পাইকা গেছে বাল আর ঢেকে রাখবা কতকাল,hate
লে কিছু কিছু বেডিরা কুত্তার পুটকির মতো করে কথা বলে ,hate
বুইড়া একটা কঠিন বাইনচোদ ,hate
এই বুড়া রাজাকার ছিল আমি নিশ্চিত,hate
বুড়া মানুষ যে মানুষে চুদানা এটাই তার প্রমাণ,hate
কাকায় অল্প বয়সে মারাত্মক ঘারতেরা আছিলো,nonhate
সব বন্ধুর গোয়ার মধ্যে আঙুল দিতো,hate
বুইরা এমন আমার শাতে করতি দোকানের মধ্যে ফালাইয়া দর্শন করে দিতাম ,nonhate
বরো জানোয়ার হলো জে বদমাইস ভিডিওটা করে নেটে ছেরে দিচে,hate
নোয়াখালীর মানুষ এবং মেয়েরা দশ টাকার জন্য নিচের কাপড় খুলে দেয়,nonhate
"৪ নয় ৪০০ বার উঠামু, কোনো বাল হালাইনা কেউ নাই আমার ",hate
ওরে বুইড়া চোদা ওরে বুইড়া চোদা,hate
কত মানুষ করোনায় মারা গেল। তোরা কোথায় ছিলি,nonhate
আমি বলবো ভিডিও যাই করছে তাই হল একটা মাদারচোদ,hate
যাই হাত মেরে আছি ,hate
"যখন কেয়ামত আসবে, বাংলাদেশ থেকে শুরু হবে, শুধুমাত্র এদের জন্য আর তোমাদের প্রয়োজনীয় দুদু সবাইকে খাওয়াও বালের মত চেহারা এ বেটির",hate
আবারও নতুন কাহিনি শুরু ,nonhate
"মুরগি আর মাছ কাটতে পারো না, ধন ত ঠিকই কাটতে পারো ",nonhate
হাতের কি অবস্থা কাটা গাঁজা খেয়ে কাটছে ,nonhate
মাইয়া ডেনডি খোর ,nonhate
নটি দের ভিডিও কে দেখে,hate
এই বঠি দা দিয়ে নুনু কাটছে,hate
ধোন কাটার পরে এদের ভিডিও বেশি দেকাছে,hate
"ফক্কির বাচ্ছাদের বাহানা,",hate
মাছ কাটতে কাটতে নুনু কাইটা দিয়েছে,hate
তুই আর কোন নতুন করে ভিডিও দিবি না তোর সাথে ফেসবুকে ঢুকতে পারি না চুতমারানি,hate
"আবার শুরু হয়েছে। আগের বার থুতু খাইছে, এবার হাগু খাইবো, পাডার ঘরের পাডা।",hate
"মাদারবোর্ড আবার শুরু করছে,",hate
বাবা খোর হাতে বেলেট দিয়ে কেটে কি অবস্থা করছে,nonhate
ভাই নুনু বলে কাটছে,nonhate
মেয়ের হাতের অবস্থা দেখেন পুরো মাল খোর সব দুই টাই মাল খোর,nonhate
মাছ কাটতে কাটতে টুনটুনি কেটে দিলো,nonhate
এক দুই সাড়ে তিন সোনার মাথা গেছে মমিসিং,nonhate
এই যে ধন টা কাটল কি গটি অইবো ভাই তর,nonhate
এই বাবা চুদির আসে কোত্থেকে খালি,hate
তুই একটা ব্র্যান্ডের চুতমারানি,hate
কুত্তা যদি হেতিরে দেখে কুত্তা সোনা খাড়া হবে না,nonhate
"এসব আগল পাগলের ভিডিও কেনো যে আমার সামনে আসে, বিরক্তিকর,",hate
"মাছ কারতে কারতে, তোমার নুনু কারছে,",nonhate
মাছ কুইটা টেডিং লইয়া এখন তুমার নুনুই কুইতা দিছে,nonhate
মাংগের নাতিরা কি বাল বানাস এগ্লা,hate
দিছে না তোমার ধোনটা কাইটা,hate
হেতির নাম বলে শিখা খান কুত্তা রে দিলে হেতিরে চোদনা,hate
মাছ কাটতে কাটতে ধন টাও কাইটা দিলো,nonhate
নেও এবার দিছে নুনু কাইটা,hate
দুইটা ঠ্যালা খাওয়ার পাগল। এজন্য লজ্জা নাই এগুলার। ,nonhate
তোর ধোন আর একটা যদি থাকতো সেটাও কাটবে সেখা শালা ভালো একটা কাজ করেছে,hate
চুতমারানীর পুরা মাগীর মত লাগে দেখতে,hate
হালার ধন কারছে ভাল হইছে,hate
বস্তি খানকির পোলারা,hate
"এবার বোঝ সাকিব কোন পেত্নীর পিছনে ঘুরছো এতোদিন, যে তোমার নুনু খাইয়া ফেলছে,",hate
এই জন‍্য তোমার নুনু নিয়ে গেছে,hate
মানুষের বাচ্চা কি ছাত্র লিগ,nonhate
এই জানোয়ারের বাচ্চাদেরকে যদি আমি পাইতাম ,hate
দেশ টারে লুটপাট করে খেয়ে ফকিন্নি পোলারা,hate
"ছাত্রলীগের দালাল তোরাই খানকির পোলা, কুত্তালীগ",hate
মা তুলে গালি দিয়া মারতাছে এতেই বোঝা যায় তাদের জন্ম যে রাস্তা ঘাটে হইছে,hate
বেশ্যাখানায় কনডম ফুটে জমা নেওয়া বাচ্চারাই হলো ছাত্রলীগ,hate
ছাত্রলীগের মায়রে চুদি,hate
বাংলাদেশ কুকুর লীগ,nonhate
মাদারচুদ তরা,hate
যৌন কর্মীর ছেলে ছাড়া অন্য কেউ ছাএলীগ করতে পারে না।,hate
"ছাত্রলীগ যেগুলোই করে, ওগুলো সব কুলাঙ্গার",hate
আইনের আওতায় আনা হউক সালা বাঞ্চুদের কে,hate
"এদের তো জন্মর ঠিক নাই ভাই, এদের পতিতালয় থেকে দত্তক নিছে",nonhate
ওরাতু জারজ,hate
তরা মরলেও ত কেও থুতু ফেলে না,nonhate
"পা চাটার বাচ্চা, গোলামের পুত",hate
শালা কত বড় গুজবরে ভাইয়ের,nonhate
কানাচোদা টিচার,hate
সালার মানুষ হলে এমন পোস্ট করতো না সালারা তো সাউয়া লীগ ,hate
পুলিশ শালার কথা কি আর বলব,nonhate
বেয়াদব লীগ চোর ভাটপার এ দলে কুত্তা বিলাই সব,hate
আরটিভি মাদাচোদ,hate
বাইঞ্চুদ দের খাইয়া কাজ নাই,hate
তুমি বালের ব্যবসা করতে আসিয়াছো পাগল,hate
